Mercado;Combo ENTREGA;CLIENTE;MONTADOR;CÓD;MÁQUINA ;Ordem de entrega dos equipamentos;OP;Situação;FALTAS;ENTREGA BRALYX SBC;CÓDIGO PAINEL;OP;Fornecedor;Situação;Data Acionamento Bralyx SP;Faltas de itens para Painéis;ENTREGA BRALYX SBC;Prazo de entrega ( Painel Montado );ENTREGA BRALYX SBC ( PAINÉIS );Observações;Data da Solicitação ;Prazo (Comercial);Aceite PCP;Data final acordada - P.A;Data Entrega;Dias de Atraso;Faturada?
MI;;ESTOQUE;Leonardo ;DTX125NM220;DROP-TOP 400-450 PLUS NR12            ;;32596;Montagem;KF373-02 (MASTER) - 18/03, KF824 (BACHANITEC) - ENTREGUE VOLTOU RNC, KF374 (BRALYX), DA2531, DA2532 (verificar) - KF381-02 (MASTER) - 02/02;100% ENTREGUE - MAR;DB1440;ESTOQUE;;Finalizada ;;;OK;;;CM640: 32592;27-fev;27-mar;;31-mar;;;
MI;;TESTE CLIENTE SHOW ROOM;Romário;EPX190NM220;EMP MESA  (ESTEIRA P/ FARINHA GROSSA);18º;33625;Finalizada;COMPLETA;100% ENTREGUE - MAR;DB6280;OP 33622 - 1/1;BRALYX;Montagem;;;OK;;;;27-fev;27-mar;;1-abr;;;S/ COBERTURA
MI;;WORK RIVEMAQ;;MFX090NM220;MAXIFORM DOLCELYX ;;30084;Montagem ;;100% ENTREGUE - MAR;DB1576;ESTOQUE;;Finalizada ;;;;;;;5-mar;3-abr;;3-abr;;;
ME;;ICE / BEATRIZ;Carlos;MFX001CM220;BABY TUBO 5.0 MK CE;22º;33649;Separada;15452 (MAGMASTER) - 25/03, 15805 (BOTECO) - 10/04, 16739 (ACE) - 23/03, DA1029 (MICROFUND) - 24/05, DA1030 (ROFER) - 01/04, DA1032 (BACHANITEC) - 02/02, DA3791 (ROFER) - 17/03, DA4037 (Kit salgado 210g), DB4381 (MAGMASTER) - 25/03, DB4383 (MAGMASTER) - 25/03, DB4409 (MAGMASTER) - 25/03, DB5045 (PONTO) - 29/03, NA3131 (BONFIGLIOLI) - 29/03, NA4018 (BONFIGLIOLI) - 29/03, NA4029 (FJG) - 25/03, 15632, DA1421, DA1427, DB5705 (BRALYX), 13009, 15209, 15210, 15603, 15854, 16333, 16727, 16728, 16734, 16735, 16742, DA0929, DA0985, DA1242, DA4424, DB4370, DB4877, DB4896 (EXTERNO), DB5038, DB5628, DB5669, DB7411, DB7412, DB7418, DB7438, NA3903, NA3904 (verificar);;DB2009;OP 33620 - 1/1;;Separada;;DA1433, DB2011, DB7287, NA1777;;;;;27-fev;27-mar;;15-abr;;;S/ COBERTURA
MI;;LGM INDUSTRIA E COMERCIO DE SALGADOS LTDA;;MFX086NM220;MAXIFORM DUE 10.0 - MAQUINA FORMADORA/RECHEADORA - NR12 ;;33381;Separada;15451, KF421-01, KF463-01;;DB3434;ESTOQUE;;Finalizada ;;;OK;;;Trocar todos os bicos de massa pelos respectivos bicos prolongados DA0533 / DA0532 DA0531 DA0530 DA0529 DA0528 DA0527 DA0526 DA0525/ DB6401 Enviar câmara simples recheio  / trocar molde coxinha padrão pelo  DB3842 E DB3739 / DA4037 Kit 210 gramas trocar o bico deste conjunto pelo DB7389;3-fev;9-abr;;27-abr;;;S/ COBERTURA 
MI;;WORK RIVEMAQ;;DTX125NM220;DROP-TOP 400-450 PLUS NR12                                                                 ;;32597;Separada;;100% ENTREGUE - MAR;DB1440;ESTOQUE;;Finalizada ;;;OK;;;CM640: 32593;5-mar;3-abr;;;;;
MI;;VITORINO CORREA NETO VOTORANTIM EIRELLI ;;DSX059NM220;DOSALYX;;32582;Montagem ;DA4532 30/04 Aguard. retorno do Márcio , DA5825 (falta DA5822 BRALYX);;DB3298;ESTOQUE;;Finalizada ;;;;;;(DA5203+DA5204), (DA5203 + DA5204), DA4532 , DA9398, DA6258, DA4955 - DA5825, DA5200, DA5334, DA5402,  2x DA3569, 2x DA3570, 2x DA3571.;20-mar;7-abr;;;;;
MI;;S KIWAMEN ALIMENTOS ;; MFX003NM220 ; MAXIFORM TUBO 3.0 - MAQUINA FORMADORA DE DOCES ;;31850;Montagem ;;;;;;;;;100% ENTREGUE - MARÇO;;;COM CAVALETE;26-mar;10-abr;;;;;
MI;;DISTRIBUIDORA AQUATRO LTDA ;;EPX163NM220;BANDEJA GIRATÓRIA Ø1000;;32952;Separada;;;DB5110;OP 32411 - 1/1;;Separada;;;;;;;19-mar;10-abr;;;;;
ME;;TESTE BEATRIZ / SIDNEY;;ECX031CM220;ESTAMPADOR;;30155;Montagem ;;;;;;;;;;;;DA9032 MOLDE OVAL MAMMOUL 6, DA9037 MOLDE Ø70 MAMOUL 18, DA6483 MOLDE Ø55, DA9033 MOLDE Ø70, DA7244 FACA;26-mar;10-abr;;;;;
