Chave,C2_PRODUTO,C2_XDESCP,C2_QUANT,C2_DATPRI,C2_DATPRF,D4_COD,D4_QTDEORI,Soma de D4_QUANT,D4_XQFALFI,D4_XQTRANS
,,,,,,25116           ,1,5,1,0
,,,,,,25551           ,9,27,9,0
,,,,,,25551           ,9.5,9.5,9.5,0
,,,,,,25551           ,12,24,12,0
,,,,,,25551           ,15,30,15,0
,,,,,,25551           ,20,40,20,0
,,,,,,25551           ,24,24,24,0
,,,,,,27010           ,1,2,1,0
,,,,,,BRX0002001      ,1,1,1,0
,,,,,,BRX0002002      ,1,1,1,0
,,,,,,CM100           ,1,8,1,0
,,,,,,CM100           ,2,2,2,0
,,,,,,CM100           ,3,6,3,0
,,,,,,CM100           ,12,12,12,0
,,,,,,CM101           ,1,1,1,0
,,,,,,CM101           ,2,12,2,0
,,,,,,CM101           ,3,6,3,0
,,,,,,CM101           ,4,4,4,0
,,,,,,CM101           ,5,10,5,0
,,,,,,CM101           ,12,12,12,0
,,,,,,CM102           ,1,9,1,0
,,,,,,CM102           ,2,4,2,0
,,,,,,CM102           ,3,3,3,0
,,,,,,CM102           ,5,5,5,0
,,,,,,CM102           ,12,12,12,0
,,,,,,CM103           ,1,2,1,0
,,,,,,CM103           ,2,4,2,0
,,,,,,CM103           ,4,4,4,0
,,,,,,CM104           ,1,1,1,0
,,,,,,CM104           ,2,2,2,0
,,,,,,CM106           ,1,2,1,0
,,,,,,CM109          ,1,2,1,0
,,,,,,CM109           ,2,4,2,0
,,,,,,CM109           ,3,3,3,0
,,,,,,CM110.0         ,1,1,1,0
,,,,,,CM111           ,1,1,1,0
,,,,,,CM111           ,2,4,2,0
,,,,,,CM111           ,3,3,3,0
,,,,,,CM112           ,1,1,1,0
,,,,,,CM112           ,2,4,2,0
,,,,,,CM112           ,3,3,3,0
,,,,,,CM112           ,5,5,5,0
,,,,,,CM113           ,5,5,5,0
,,,,,,CM142           ,1,3,1,0
,,,,,,CM143           ,1,3,1,0
,,,,,,CM143.0         ,1,2,1,0
,,,,,,CM144           ,1,3,1,0
,,,,,,CM145           ,1,7,1,0
,,,,,,CM145.0         ,1,1,1,0
,,,,,,CM146           ,1,4,1,0
,,,,,,CM151           ,1,2,1,0
,,,,,,CM152           ,1,5,1,0
,,,,,,CM153           ,1,7,1,0
,,,,,,CM154           ,1,4,1,0
,,,,,,CM155           ,1,1,1,0
,,,,,,CM156           ,1,1,1,0
,,,,,,CM157           ,1,1,1,0
,,,,,,CM159           ,2,2,2,0
,,,,,,CM171.B        ,1,3,1,0
,,,,,,CM187           ,1,3,1,0
,,,,,,CM201           ,1,3,1,0
,,,,,,CM210           ,1,1,1,0
,,,,,,CM300          ,1,3,1,0
,,,,,,CM301           ,1,5,1,0
,,,,,,CM304           ,1,9,1,0
,,,,,,CM305           ,1,5,1,0
,,,,,,CM306           ,1,12,1,0
,,,,,,CM307           ,1,8,1,0
,,,,,,CM308           ,1,8,1,0
,,,,,,CM309           ,1,8,1,0
,,,,,,CM318           ,1,5,1,0
,,,,,,CM319          ,1,1,1,0
,,,,,,CM321           ,1,1,1,0
,,,,,,CM327           ,1,1,1,0
,,,,,,CM328           ,1,1,1,0
,,,,,,CM329           ,1,1,1,0
,,,,,,CM332           ,1,4,1,0
,,,,,,CM333           ,1,4,1,0
,,,,,,CM334           ,1,4,1,0
,,,,,,CM335           ,1,25,1,0
,,,,,,CM336           ,1,25,1,0
,,,,,,CM337           ,1,28,1,0
,,,,,,CM338           ,1,28,1,0
,,,,,,CM339           ,1,1,1,0
,,,,,,CM340           ,1,2,1,0
,,,,,,CM341           ,1,2,1,0
,,,,,,CM398           ,1,2,1,0
,,,,,,CM398           ,2,2,2,0
,,,,,,CM399           ,1,14,1,0
,,,,,,CM399           ,2,4,2,0
,,,,,,CM400           ,1,13,1,0
,,,,,,CM401           ,1,13,1,0
,,,,,,CM402           ,1,1,1,0
,,,,,,CM404           ,1,6,1,0
,,,,,,CM405           ,1,6,1,0
,,,,,,CM407           ,1,1,1,0
,,,,,,CM408           ,1,3,1,0
,,,,,,CM413          ,1,1,1,0
,,,,,,CM414           ,1,7,1,0
,,,,,,CM414           ,2,2,2,0
,,,,,,CM415           ,1,3,1,0
,,,,,,CM415           ,2,2,2,0
,,,,,,CM416           ,1,7,1,0
,,,,,,CM416           ,2,2,2,0
,,,,,,CM417           ,1,2,1,0
,,,,,,CM418           ,1,8,1,0
,,,,,,CM419           ,1,2,1,0
,,,,,,CM420           ,1,5,1,0
,,,,,,CM420           ,2,2,2,0
,,,,,,CM420           ,3,3,3,0
,,,,,,CM420           ,12,12,12,0
,,,,,,CM424           ,1,13,1,0
,,,,,,CM425           ,1,2,1,0
,,,,,,CM426           ,1,1,1,0
,,,,,,CM427           ,1,1,1,0
,,,,,,CM429           ,1,3,1,0
,,,,,,CM430          ,1,1,1,0
,,,,,,CM431          ,1,1,1,0
,,,,,,CM432          ,1,3,1,0
,,,,,,CM433           ,1,2,1,0
,,,,,,CM434           ,1,17,1,0
,,,,,,CM435           ,1,6,1,0
,,,,,,CM436           ,1,6,1,0
,,,,,,CM437           ,1,9,1,0
,,,,,,CM439           ,1,5,1,0
,,,,,,CM440           ,1,2,1,0
,,,,,,CM441           ,1,2,1,0
,,,,,,CM442           ,1,3,1,0
,,,,,,CM443           ,1,2,1,0
,,,,,,CM444           ,1,7,1,0
,,,,,,CM444           ,1,1,1,1
,,,,,,CM444           ,2,4,2,0
,,,,,,CM445           ,1,9,1,0
,,,,,,CM445           ,1,1,1,1
,,,,,,CM445           ,2,6,2,0
,,,,,,CM445           ,6,6,6,0
,,,,,,CM446           ,1,7,1,0
,,,,,,CM446           ,1,1,1,1
,,,,,,CM446           ,2,4,2,0
,,,,,,CM447           ,1,8,1,0
,,,,,,CM447           ,1,1,1,1
,,,,,,CM447           ,2,4,2,0
,,,,,,CM448           ,1,7,1,0
,,,,,,CM448           ,1,1,1,1
,,,,,,CM448           ,2,4,2,0
,,,,,,CM449           ,1,2,1,0
,,,,,,CM449           ,2,2,2,0
,,,,,,CM449           ,6,6,6,0
,,,,,,CM450           ,1,2,1,0
,,,,,,CM450           ,2,2,2,0
,,,,,,CM450           ,6,6,6,0
,,,,,,CM451           ,1,2,1,0
,,,,,,CM451           ,2,2,2,0
,,,,,,CM451           ,6,6,6,0
,,,,,,CM452           ,1,2,1,0
,,,,,,CM452           ,2,2,2,0
,,,,,,CM452           ,6,6,6,0
,,,,,,CM453           ,2,2,2,0
,,,,,,CM454           ,1,1,1,0
,,,,,,CM454           ,2,4,2,0
,,,,,,CM454           ,4,4,4,0
,,,,,,CM456           ,1,2,1,0
,,,,,,CM457           ,1,2,1,0
,,,,,,CM458           ,1,2,1,0
,,,,,,CM461           ,1,2,1,0
,,,,,,CM461           ,9,9,9,0
,,,,,,CM462           ,1,1,1,0
,,,,,,CM463           ,1,1,1,0
,,,,,,CM465           ,1,4,1,0
,,,,,,CM466           ,1,1,1,0
,,,,,,CM467           ,1,1,1,0
,,,,,,CM468           ,1,1,1,0
,,,,,,CM472           ,1,2,1,0
,,,,,,CM474           ,1,2,1,0
,,,,,,CM475           ,1,2,1,0
,,,,,,CM476           ,1,2,1,0
,,,,,,CM477           ,1,4,1,0
,,,,,,CM479           ,1,4,1,0
,,,,,,CM481           ,1,8,1,0
,,,,,,CM481           ,3,3,3,0
,,,,,,CM483           ,1,2,1,0
,,,,,,CM484           ,1,18,1,0
,,,,,,CM484           ,2,6,2,0
,,,,,,CM484           ,4,4,4,0
,,,,,,CM484           ,5,5,5,0
,,,,,,CM485           ,1,4,1,0
,,,,,,CM489           ,1,27,1,0
,,,,,,CM489           ,3,3,3,0
,,,,,,CM490           ,1,44,1,0
,,,,,,CM490           ,3,3,3,0
,,,,,,CM491           ,1,6,1,0
,,,,,,CM491           ,3,3,3,0
,,,,,,CM492           ,1,7,1,0
,,,,,,CM493           ,1,16,1,0
,,,,,,CM493           ,3,3,3,0
,,,,,,CM493           ,4,4,4,0
,,,,,,CM495           ,1,3,1,0
,,,,,,CM500           ,1,8,1,0
,,,,,,CM509           ,1,1,1,0
,,,,,,CM510          ,1,1,1,0
,,,,,,CM511           ,1,20,1,0
,,,,,,CM511           ,2,2,2,0
,,,,,,CM512          ,1,1,1,0
,,,,,,CM513          ,1,1,1,0
,,,,,,CM514          ,1,2,1,0
,,,,,,CM515           ,1,2,1,0
,,,,,,CM518           ,1,4,1,0
,,,,,,CM519           ,1,10,1,0
,,,,,,CM519           ,2,2,2,0
,,,,,,CM523           ,1,8,1,0
,,,,,,CM524           ,1,2,1,0
,,,,,,CM525           ,1,1,1,0
,,,,,,CM526           ,1,5,1,0
,,,,,,CM527           ,1,9,1,0
,,,,,,CM528          ,1,1,1,0
,,,,,,CM529           ,1,11,1,0
,,,,,,CM529           ,2,2,2,0
,,,,,,CM530           ,1,4,1,0
,,,,,,CM531           ,1,1,1,0
,,,,,,CM533           ,1,50,1,0
,,,,,,CM534           ,1,34,1,0
,,,,,,CM535           ,1,2,1,0
,,,,,,CM605           ,1,37,1,0
,,,,,,CM605           ,1,1,1,1
,,,,,,CM606           ,1,37,1,0
,,,,,,CM606           ,1,1,1,1
,,,,,,CM607           ,1,32,1,0
,,,,,,CM608           ,1,4,1,0
,,,,,,CM609           ,1,37,1,0
,,,,,,CM609           ,1,1,1,1
,,,,,,CM610           ,1,4,1,0
,,,,,,CM613           ,1,1,1,0
,,,,,,CM615           ,1,1,1,0
,,,,,,CM616           ,1,1,1,0
,,,,,,CM618           ,1,1,1,0
,,,,,,CM619           ,1,1,1,0
,,,,,,CM620           ,1,1,1,0
,,,,,,CM621           ,1,3,1,0
,,,,,,CM622           ,1,15,1,0
,,,,,,CM623           ,1,69,1,0
,,,,,,CM623           ,5,5,5,0
,,,,,,CM623           ,7,7,7,0
,,,,,,CM624           ,1,5,1,0
,,,,,,CM624           ,2,2,2,0
,,,,,,CM625           ,1,16,1,0
,,,,,,CM629           ,1,7,1,0
,,,,,,CM629           ,1,1,1,1
,,,,,,CM632           ,1,3,1,0
,,,,,,CM634           ,1,11,1,0
,,,,,,CM635           ,1,1,1,0
,,,,,,CM636           ,1,4,1,0
,,,,,,CM637           ,1,3,1,0
,,,,,,CM639           ,1,1,1,0
,,,,,,CM640           ,1,10,1,0
,,,,,,DA0350          ,1,1,1,0
,,,,,,DA0350          ,2,2,2,0
,,,,,,DA0355          ,2,8,2,0
,,,,,,DA0355          ,24,24,24,0
,,,,,,DA0358          ,1,1,1,0
,,,,,,DA0358          ,3,6,3,0
,,,,,,DA0358          ,6,6,6,0
,,,,,,DA0368          ,1,1,1,0
,,,,,,DA0368          ,3,6,3,0
,,,,,,DA0368          ,6,6,6,0
,,,,,,DA0373          ,1,1,1,0
,,,,,,DA0374          ,24,24,24,0
,,,,,,DA0375          ,12,36,12,0
,,,,,,DA0377          ,24,24,24,0
,,,,,,DA0479          ,1,1,1,0
,,,,,,DA0480          ,1,2,1,0
,,,,,,DA0493          ,1,1,1,0
,,,,,,DA0494          ,1,1,1,0
,,,,,,DA0495          ,1,3,1,0
,,,,,,DA0496          ,1,9,1,0
,,,,,,DA0503          ,1,1,1,0
,,,,,,DA0511         ,2,2,1,2
,,,,,,DA0511          ,2,10,2,0
,,,,,,DA0511          ,4,8,4,0
,,,,,,DA0511          ,6,6,6,0
,,,,,,DA0516          ,6,6,6,0
,,,,,,DA0525          ,1,1,1,0
,,,,,,DA0526          ,1,1,1,0
,,,,,,DA0527          ,1,1,1,0
,,,,,,DA0528          ,1,1,1,0
,,,,,,DA0529          ,1,1,1,0
,,,,,,DA0530          ,1,1,1,0
,,,,,,DA0531          ,1,1,1,0
,,,,,,DA0532          ,1,1,1,0
,,,,,,DA0533          ,1,1,1,0
,,,,,,DA0547          ,1,1,1,0
,,,,,,DA0565          ,2,2,2,0
,,,,,,DA0566          ,1,1,1,0
,,,,,,DA0572         ,4,4,4,0
,,,,,,DA0573          ,1,2,1,0
,,,,,,DA0585          ,1,1,1,0
,,,,,,DA0673          ,1,1,1,0
,,,,,,DA0673          ,2,2,2,0
,,,,,,DA0683          ,1,1,1,0
,,,,,,DA0693          ,1,3,1,0
,,,,,,DA0693          ,5,15,5,0
,,,,,,DA0725          ,1,3,1,0
,,,,,,DA0725          ,1,1,1,4
,,,,,,DA0725          ,2,50,2,0
,,,,,,DA0725          ,3,3,3,0
,,,,,,DA0725          ,4,4,4,0
,,,,,,DA0725          ,7,7,7,0
,,,,,,DA0725          ,10,10,10,0
,,,,,,DA0725          ,20,60,20,0
,,,,,,DA0725          ,30,30,30,0
,,,,,,DA0757         ,1,1,1,0
,,,,,,DA0830          ,1,2,1,0
,,,,,,DA0841          ,4,24,4,0
,,,,,,DA0841          ,6,24,6,0
,,,,,,DA0890          ,1,1,1,0
,,,,,,DA0897          ,1,1,1,0
,,,,,,DA0920          ,1,5,1,0
,,,,,,DA0920          ,10,10,1,9
,,,,,,DA0929          ,1,1,1,0
,,,,,,DA0983          ,1,6,1,0
,,,,,,DA0985          ,1,1,1,0
,,,,,,DA0993          ,2,18,2,0
,,,,,,DA0996          ,1,1,1,0
,,,,,,DA1009          ,5,5,9,0
,,,,,,DA1029          ,1,1,1,0
,,,,,,DA1030          ,1,1,1,0
,,,,,,DA1032          ,1,1,1,0
,,,,,,DA1057          ,2,2,2,0
,,,,,,DA1057          ,4,12,4,0
,,,,,,DA1058          ,1,1,1,0
,,,,,,DA1059          ,1,1,1,0
,,,,,,DA1060          ,1,1,1,0
,,,,,,DA1062          ,2,2,2,0
,,,,,,DA1070          ,3,3,3,0
,,,,,,DA1070          ,4,4,4,0
,,,,,,DA1074          ,2,2,2,0
,,,,,,DA1074          ,4,4,4,0
,,,,,,DA1133          ,2,2,2,0
,,,,,,DA1134          ,2,4,2,0
,,,,,,DA1134          ,4,4,4,0
,,,,,,DA1140         ,1,1,1,0
,,,,,,DA1153          ,1,1,1,0
,,,,,,DA1166          ,2,2,2,0
,,,,,,DA1168          ,1,1,1,0
,,,,,,DA1190          ,1,2,1,0
,,,,,,DA1194          ,5,5,5,0
,,,,,,DA1202          ,1,2,1,0
,,,,,,DA1203          ,1,2,1,0
